mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__fit_intercept,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_model__alpha,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree
0.03426375389099121,0.003368550833602234,0.01104593276977539,0.0012523888722372708,True,{'model__fit_intercept': True},0.0,-4.279063603381445,-0.2572016088157365,-0.6377345926436031,0.0,-1.0347999609681569,1.6388525622469525,1,LinearRegression,,,,,,,,,,
0.027467107772827147,0.00513419606806032,0.009188413619995117,0.0015427480383501432,False,{'model__fit_intercept': False},0.0,-4.3251131726739604,-0.26206507585537997,-0.6235110571755473,0.0,-1.0421378611409777,1.6573346970798393,2,LinearRegression,,,,,,,,,,
0.017036008834838866,0.0016838231923747738,0.006645822525024414,0.000809816668920595,,{'model__alpha': np.float64(43.92997516807047)},0.0,-3.665205782700629,-0.18242841631766304,-0.8000495376194303,0.0,-0.9295367473275444,1.3990639725263465,17,Ridge,43.92997516807047,,,,,,,,,
0.016569757461547853,0.0021725649432005915,0.006905031204223633,0.0015095437148182024,,{'model__alpha': np.float64(4.219892189394756)},0.0,-4.169953159934129,-0.2444358466870915,-0.647271914534026,0.0,-1.0123321842310493,1.5964421013231123,49,Ridge,4.219892189394756,,,,,,,,,
0.018323421478271484,0.0029286878146510863,0.0070838451385498045,0.0011574982651456265,,{'model__alpha': np.float64(94.78021614711781)},0.0,-3.5192272230633543,-0.1607742843597464,-1.013874682425246,0.0,-0.9387752379696692,1.3440428380523772,38,Ridge,94.78021614711781,,,,,,,,,
0.017583465576171874,0.0015245246286455078,0.006916046142578125,0.0007107230090113024,,{'model__alpha': np.float64(45.40554695201473)},0.0,-3.656506216253857,-0.18128582248668446,-0.8065077844215913,0.0,-0.9288599646324265,1.3956685061851637,16,Ridge,45.40554695201473,,,,,,,,,
0.019025611877441406,0.0012016025646126658,0.007415103912353516,0.0006012831179854334,,{'model__alpha': np.float64(22.315143894712026)},0.0,-3.8558582386511793,-0.20654256604361465,-0.7085184007125978,0.0,-0.9541838410814784,1.473768428173529,43,Ridge,22.315143894712026,,,,,,,,,
0.018092870712280273,0.0019833604160322343,0.007581138610839843,0.0010985912809369815,,{'model__alpha': np.float64(42.004639961095805)},0.0,-3.6772098381946776,-0.18399552520387985,-0.7916344217420421,0.0,-0.93056795702812,1.4037541089421748,20,Ridge,42.004639961095805,,,,,,,,,
0.01772594451904297,0.001357551227331397,0.0069714546203613285,0.0009200136414545771,,{'model__alpha': np.float64(46.561384208235204)},0.0,-3.649980212833036,-0.18042448869304106,-0.8115697758568743,0.0,-0.9283948954765903,1.3931237304376287,13,Ridge,46.561384208235204,,,,,,,,,
0.01705656051635742,0.001799020255822878,0.00654134750366211,0.0008612708413589335,,{'model__alpha': np.float64(65.36733836606894)},0.0,-3.572452543931739,-0.16973944792195805,-0.893314362914778,0.0,-0.9271012709536951,1.3632061749269813,8,Ridge,65.36733836606894,,,,,,,,,
0.016517448425292968,0.0011336333498756517,0.006463956832885742,0.0006408891398000091,,{'model__alpha': np.float64(54.49750139250597)},0.0,-3.6112938861279273,-0.17522374784371908,-0.8462935198537309,0.0,-0.9265622307650755,1.3780980936158356,2,Ridge,54.49750139250597,,,,,,,,,
0.016801977157592775,0.0015307527992976953,0.006388998031616211,0.0005500481577839833,,{'model__alpha': np.float64(71.44147023095915)},0.0,-3.5562692834126093,-0.16730771656629595,-0.9191140098877644,0.0,-0.928538201973334,1.3571217844187209,14,Ridge,71.44147023095915,,,,,,,,,
0.01791701316833496,0.0009926500961057255,0.006846714019775391,0.00041869738509485715,,{'model__alpha': np.float64(50.44910440581477)},0.0,-3.629764023839548,-0.1777295890421624,-0.828597535622903,0.0,-0.9272182297009227,1.3852566783215843,9,Ridge,50.44910440581477,,,,,,,,,
0.019031858444213866,0.002737372344776239,0.007574462890625,0.0012397474193804189,,{'model__alpha': np.float64(18.95492584646263)},0.0,-3.900025170540231,-0.21197719009384786,-0.6954652143840208,0.0,-0.9614935150036199,1.4910703288185687,45,Ridge,18.95492584646263,,,,,,,,,
0.02002882957458496,0.0020121443355395185,0.007610225677490234,0.0005674650200979287,,{'model__alpha': np.float64(78.79973182396677)},0.0,-3.540827489608067,-0.16483214500663523,-0.9497853086929244,0.0,-0.9310889886615253,1.3514501511907022,23,Ridge,78.79973182396677,,,,,,,,,
0.01868405342102051,0.002346512988871358,0.007807111740112305,0.0011016742096226194,,{'model__alpha': np.float64(79.67459471257101)},0.0,-3.5392553057349074,-0.1645672939700713,-0.9533857845454285,0.0,-0.9314416768500815,1.350883931411146,24,Ridge,79.67459471257101,,,,,,,,,
0.018633127212524414,0.002456150325874874,0.007006120681762695,0.0008102288886088421,,{'model__alpha': np.float64(7.542349098187303)},0.0,-4.095799513465567,-0.2356394205484722,-0.6564186881733602,0.0,-0.9975715244374801,1.5675611856231864,48,Ridge,7.542349098187303,,,,,,,,,
0.016681337356567384,0.0018875161401145652,0.006005477905273437,0.0003537832039226223,,{'model__alpha': np.float64(86.3611256933649)},0.0,-3.528845587444784,-0.16272037019755947,-0.9805600113192976,0.0,-0.9344251937923282,1.3472174895491154,27,Ridge,86.3611256933649,,,,,,,,,
