model,r2_test,r2_train,mae,rmse,best_params,train_time_sec,memory_peak_mb
LinearRegression,0.3154603074971216,0.6753156286504826,0.14022791890974995,0.19113073877780015,{'model__fit_intercept': True},2.0685431957244873,1.8372936248779297
Ridge,0.30060262635102875,0.6522450536323885,0.15123761926172963,0.19319381533157448,{'model__alpha': np.float64(60.29186751947844)},2.2100298404693604,1.8635644912719727
Lasso,0.34923727852235165,0.6090849786034322,0.14639946670040185,0.18635564559199,{'model__alpha': np.float64(0.020874558905144457)},2.2078821659088135,1.7883806228637695
XGBRegressor,0.7262880917903917,0.9655355436625085,0.06688604865959065,0.12085874131401511,"{'model__subsample': 0.8, 'model__reg_lambda': 1, 'model__reg_alpha': 0, 'model__n_estimators': 100, 'model__min_child_weight': 7, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0, 'model__colsample_bytree': 0.6}",8.575650453567505,1.8154535293579102
OrdinalRidge,-2.3898305084745757,0.11330049261083741,0.05555555555555555,0.23570226039551584,{'model__alpha': np.float64(5.620033785354685)},2.2157833576202393,1.8062801361083984
LogisticAT,-3.5197740112994342,0.16256157635467983,0.07407407407407407,0.2721655269759087,{'model__alpha': np.float64(0.15359288658152992)},3.231140613555908,1.822732925415039
